Use By Technology (Energy Units)

,REG1
Technology,Fuel,Timeslice,2023
GRID,EL01,655,0
GRID,EL01,656,0
GRID,EL01,657,0
GRID,EL01,658,0
GRID,EL01,659,0
GRID,EL01,660,0
GRID,EL01,661,0
GRID,EL01,662,0
GRID,EL01,663,0
GRID,EL01,664,0
GRID,EL01,665,0
GRID,EL01,666,0
GRID,EL01,667,0
GRID,EL01,668,0
GRID,EL01,669,0
GRID,EL01,670,0
GRID,EL01,671,0
GRID,EL01,672,0
GRID,EL01,673,0
GRID,EL01,674,0
GRID,EL01,675,0
GRID,EL01,676,0
GRID,EL01,677,0
GRID,EL01,678,0
GRID,EL01,679,0
GRID,EL01,680,0
GRID,EL01,681,0
GRID,EL01,682,0
GRID,EL01,683,0
GRID,EL01,684,0
GRID,EL01,685,0
GRID,EL01,686,0
GRID,EL01,687,0
GRID,EL01,688,0
GRID,EL01,689,0
GRID,EL01,690,0
GRID,EL01,691,0
GRID,EL01,692,0
GRID,EL01,693,0
GRID,EL01,694,0
GRID,EL01,695,0
GRID,EL01,696,0
GRID,EL01,697,0
GRID,EL01,698,0
GRID,EL01,699,0
GRID,EL01,700,0
GRID,EL01,701,0
GRID,EL01,702,0
GRID,EL01,703,0
GRID,EL01,704,0
GRID,EL01,705,0
GRID,EL01,706,0
GRID,EL01,707,0
GRID,EL01,708,0
GRID,EL01,709,0
GRID,EL01,710,0
GRID,EL01,711,0
GRID,EL01,712,0
GRID,EL01,713,0
GRID,EL01,714,0
GRID,EL01,715,0
GRID,EL01,716,0
GRID,EL01,717,0
GRID,EL01,718,0
GRID,EL01,719,0
GRID,EL01,720,0
GRID,EL01,721,0
GRID,EL01,722,0
GRID,EL01,723,0
GRID,EL01,724,0
GRID,EL01,725,0
GRID,EL01,726,0
GRID,EL01,727,0
GRID,EL01,728,0
GRID,EL01,729,0
GRID,EL01,730,0
GRID,EL01,731,0
GRID,EL01,732,0
GRID,EL01,733,0
GRID,EL01,734,0
GRID,EL01,735,0
GRID,EL01,736,0
GRID,EL01,737,0
GRID,EL01,738,0
GRID,EL01,739,0
GRID,EL01,740,0
GRID,EL01,741,0
GRID,EL01,742,0
GRID,EL01,743,0
GRID,EL01,744,0
GRID,EL01,745,0
GRID,EL01,746,0
GRID,EL01,747,0
GRID,EL01,748,0
GRID,EL01,749,0
