
Time Dependent Production (Energy Units) Test

,REG1
Fuel,Timeslice,2023
EL01,366,11.8622
EL01,367,11.8622
EL01,368,11.8622
EL01,369,11.8622
EL01,370,11.8622
EL01,371,11.8622
EL01,372,11.8622
EL01,373,11.8622
EL01,374,11.8622
EL01,375,11.8622
EL01,376,11.8622
EL01,377,11.8622
EL01,378,11.8622
EL01,379,11.8622
EL01,380,11.8622
EL01,381,11.8622
EL01,382,11.8622
EL01,383,11.8622
EL01,384,11.8622
EL01,385,11.8622
EL01,386,11.8622
EL01,387,11.8622
EL01,388,11.8622
EL01,389,11.8622
EL01,390,11.8622
EL01,391,11.8622
EL01,392,11.8622
EL01,393,11.8622
EL01,394,11.8622
EL01,395,11.8622
EL01,396,11.8622
EL01,397,11.8622
EL01,398,11.8622
EL01,399,11.8622
EL01,400,11.8622
EL01,401,11.8622
EL01,402,11.8622
EL01,403,11.8622
EL01,404,11.8622
EL01,405,11.8622
EL01,406,11.8622
EL01,407,11.8622
EL01,408,11.8622
EL01,409,11.8622
EL01,410,11.8622
EL01,411,11.8622
EL01,412,11.8622
EL01,413,11.8622
EL01,414,11.8622
EL01,415,11.8622
EL01,416,11.8622
EL01,417,11.8622
EL01,418,11.8622
EL01,419,11.8622
EL01,420,11.8622
EL01,421,11.8622
EL01,422,11.8622
EL01,423,11.8622
EL01,424,11.8622
EL01,425,11.8622
EL01,426,11.8622
EL01,427,11.8622
EL01,428,11.8622
EL01,429,11.8622
EL01,430,11.8622
EL01,431,11.8622
EL01,432,11.8622
EL01,433,11.8622
EL01,434,11.8622
EL01,435,11.8622
EL01,436,11.8622
EL01,437,11.8622
EL01,438,11.8622
EL01,439,11.8622
EL01,440,11.8622
EL01,441,11.8622
EL01,442,11.8622
EL01,443,11.8622
EL01,444,11.8622
EL01,445,11.8622
EL01,446,11.8622
EL01,447,11.8622
EL01,448,11.8622
EL01,449,11.8622
EL01,450,11.8622
EL01,451,11.8622
EL01,452,11.8622
EL01,453,11.8622
EL01,454,11.8622
EL01,455,11.8622
EL01,456,11.8622
EL01,457,11.8622
EL01,458,11.8622
EL01,459,11.8622
EL01,460,11.8622
EL01,461,11.8622
EL01,462,11.8622
EL01,463,11.8622
EL01,464,11.8622
EL01,465,11.8622
EL01,466,11.8622
EL01,467,11.8622
EL01,468,11.8622
EL01,469,11.8622
EL01,470,11.8622
EL01,471,11.8622
EL01,472,11.8622
EL01,473,11.8622
EL01,474,11.8622
EL01,475,11.8622
EL01,476,11.8622
EL01,477,11.8622
EL01,478,11.8622
EL01,479,11.8622
EL01,480,11.8622
EL01,481,11.8622
EL01,482,11.8622
EL01,483,11.8622
EL01,484,11.8622
EL01,485,11.8622
EL01,486,11.8622
EL01,487,11.8622
EL01,488,11.8622
EL01,489,11.8622
EL01,490,11.8622
EL01,491,11.8622
EL01,492,11.8622
EL01,493,11.8622
EL01,494,11.8622
EL01,495,11.8622
